Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,7,17,36,0.07931237843424352,5.925507246376812,299,5,17,36,0.06290593773184032,5.921783723522854,299
2,71,37,163,0.11106037693851847,5.740557413600892,299,5,69,151,0.20719223385039665,6.156231884057971,299
3,15,40,59,0.10126702582264653,5.758907469342252,299,5,26,41,0.18695571156765278,5.846956521739131,299
4,39,26,128,0.0033777031236157913,5.864347826086957,299,5,33,127,0.0008234593826495506,5.886020066889632,299
5,31,74,172,0.0819655308844683,5.711571906354515,299,5,56,123,0.09614153022643737,5.8818283166109255,299
6,14,9,19,0.18033320642003792,5.820624303232999,299,5,9,17,0.03540297796999458,5.700423634336678,299
7,39,6,67,0.255255530367982,5.32644370122631,299,5,17,58,0.3930099089703494,5.411705685618729,299
8,21,60,173,0.18555812328336485,5.9851282051282055,299,5,62,157,0.2667081055483538,5.663634336677815,299
9,71,11,161,0.0936046252705008,5.918706800445931,299,5,30,161,0.0450637201084236,5.59835005574136,299
10,63,8,140,0.17200564381578176,4.721806020066889,299,5,37,140,0.05921255699814555,4.8878706800445935,299
11,33,31,63,0.10544369909780744,6.5361872909699,299,5,31,63,0.08904397520629775,6.66329988851728,299
12,10,33,74,0.13128617853137267,5.352263099219621,299,5,33,74,0.15250327290039575,5.299531772575251,299
13,20,35,144,0.12474609793868413,5.624816053511705,299,5,37,122,0.06325524331854036,5.540022296544036,299
14,24,29,99,0.20614284542489636,5.895406911928651,299,5,31,96,0.220988498844228,5.818907469342252,299
15,20,21,36,0.061874911485203445,5.486711259754738,299,5,21,35,0.2081156411332319,5.2672686733556295,299
16,6,71,119,0.045090885180168044,5.809966555183946,299,4,71,119,0.053113235910708795,5.842185061315496,299
17,80,33,151,0.0025246162261069174,5.714425863991082,299,5,76,146,0.05903405268261954,5.372709030100334,299
18,18,38,101,0.1008560456845764,5.726243032329989,299,5,53,101,0.05907625668977457,5.566711259754738,299
19,52,47,155,0.03693694774549659,6.044325529542921,299,5,33,57,0.35240963598663977,7.331817168338907,299
20,40,14,51,0.009012823674503652,5.416967670011148,299,5,9,29,0.1379622075333054,4.7787290969899665,299
21,16,23,63,0.1721437726505739,5.996365663322185,299,5,23,63,0.17507119926084191,5.704503901895206,299
22,28,28,51,0.16179237374423328,6.19139353400223,299,5,28,51,0.31010800369474767,6.2099442586399105,299
23,10,36,116,0.15521336365338528,5.897369007803791,299,5,36,113,0.18445242427418995,5.877614269788183,299
24,11,14,24,0.19350446083072026,5.406243032329989,299,5,14,22,0.21086557618194013,5.389342251950947,299
25,57,11,143,0.2188165965645329,5.769476031215162,299,5,11,43,0.17415437171511128,5.7903901895206245,299
26,32,35,172,0.3523884249828385,5.823589743589744,299,5,60,172,0.22158051781848576,5.182564102564102,299
27,13,19,93,0.006273179123515847,6.034202898550725,299,5,26,93,0.018028312939087684,5.848272017837235,299
28,9,54,147,0.07425705652634519,5.225039018952063,299,5,54,143,0.08426442918855559,5.177502787068004,299
29,59,77,185,0.1126949754011122,5.044526198439242,299,5,78,171,0.18564351771602772,4.731505016722408,299
30,44,75,192,0.05366575135173719,5.006153846153846,299,5,95,190,0.1805687503601957,4.766131549609811,299
31,14,61,129,0.11013186567986182,4.734113712374582,299,5,64,129,0.09583817437921058,4.563723522853958,299
32,107,45,180,0.14470071044484203,5.562051282051282,299,5,68,167,0.3334803438276591,5.33288740245262,299
33,90,15,172,0.013813055726832193,5.0369676700111485,299,5,12,43,0.04590603128454601,4.6925083612040135,299
34,25,11,36,0.38899911708237955,5.947558528428094,299,5,8,9,0.2133943431743136,5.911727982162764,299
35,7,16,27,0.05687190045479178,6.792954292084727,299,4,16,27,0.053892869494410744,6.750345596432553,299
36,14,10,18,0.07244945476523276,5.29340022296544,299,5,9,11,0.1376376985813503,5.309632107023411,299
37,42,10,99,0.4187321484698301,5.67257525083612,299,5,10,19,0.31976053969971774,5.613444816053511,299
38,10,56,94,0.029829828809561497,5.695005574136009,299,5,56,94,0.03552355173180993,5.638104793756968,299
39,26,43,150,0.39821765939322196,6.228004459308807,299,5,33,94,0.4930222968409823,6.54711259754738,299
40,58,85,147,0.10923168298892778,5.27901895206243,299,5,47,69,0.1843945944296781,5.228405797101449,299
41,80,37,166,0.0986554635765809,5.48989966555184,299,5,28,38,0.09172075585825838,5.265707915273133,299
42,28,9,60,0.21310340189195254,5.670657748049052,299,5,9,34,0.026334964847702414,5.79469342251951,299
43,11,31,68,0.05712049727965628,5.2901226309921965,299,5,31,68,0.0825995883890481,5.316967670011148,299
44,65,55,145,0.13013846935293302,6.263099219620959,299,5,23,38,0.21747563775170586,5.993511705685619,299
45,30,37,160,0.002994100849694382,5.82180602006689,299,5,58,160,0.09442635206795344,5.12247491638796,299
46,52,41,134,0.6399211574387471,6.335250836120402,299,5,35,110,0.9952551518849868,6.51371237458194,299
47,20,43,121,0.06205337496888233,5.327045707915273,299,5,43,101,0.09732705944583331,5.673467112597548,299
48,30,72,150,0.2662721152325376,6.520802675585284,299,5,58,109,0.062382986103426186,6.6985061315496095,299
49,7,69,133,0.28682014814364953,5.814648829431438,299,5,67,128,0.25593007210011964,5.854202898550724,299
50,61,21,137,0.08330319940036783,5.1288963210702345,299,5,38,104,0.05565233305180118,5.418952062430323,299
