Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,7,17,36,0.07931237843424352,5.925507246376812,299,7,4,18,0.10014425059614485,5.437703455964326,299
2,71,37,163,0.11106037693851847,5.740557413600892,299,73,4,161,0.08397876252324897,5.6682497212932,299
3,15,40,59,0.10126702582264653,5.758907469342252,299,10,4,33,0.2904149894021397,5.718706800445931,299
4,39,26,128,0.0033777031236157913,5.864347826086957,299,40,4,74,0.003225126007654592,5.592419175027871,299
5,31,74,172,0.0819655308844683,5.711571906354515,299,15,4,29,0.22322057122291605,5.549632107023411,299
6,14,9,19,0.18033320642003792,5.820624303232999,299,14,4,17,0.05935079993369549,5.754470457079153,299
7,39,6,67,0.255255530367982,5.32644370122631,299,33,4,61,0.2580808390768844,5.343054626532887,299
8,21,60,173,0.18555812328336485,5.9851282051282055,299,62,4,171,0.239233735651449,5.747469342251951,299
9,71,11,161,0.0936046252705008,5.918706800445931,299,71,4,158,0.10801273222109005,5.580178372352285,299
10,63,8,140,0.17200564381578176,4.721806020066889,299,64,4,140,0.18407711446483854,4.632775919732442,299
11,33,31,63,0.10544369909780744,6.5361872909699,299,15,4,28,0.05685901775721486,5.935741360089186,299
12,10,33,74,0.13128617853137267,5.352263099219621,299,11,4,57,0.2364338960040615,5.51866220735786,299
13,20,35,144,0.12474609793868413,5.624816053511705,299,46,4,144,0.12432065769738287,5.722408026755853,299
14,24,29,99,0.20614284542489636,5.895406911928651,299,24,4,45,0.21317944475093642,5.375964325529543,299
15,20,21,36,0.061874911485203445,5.486711259754738,299,20,4,36,0.1633838036159425,5.164570791527313,299
16,6,71,119,0.045090885180168044,5.809966555183946,299,6,4,25,0.2799275873117876,5.740802675585284,299
17,80,33,151,0.0025246162261069174,5.714425863991082,299,82,4,151,0.11618308188487275,4.950189520624304,299
18,18,38,101,0.1008560456845764,5.726243032329989,299,18,4,33,0.020317819200924018,6.33984392419175,299
19,52,47,155,0.03693694774549659,6.044325529542921,299,22,4,44,0.25846279587038723,6.530033444816054,299
20,40,14,51,0.009012823674503652,5.416967670011148,299,29,4,45,0.038278194098335064,5.142876254180602,299
21,16,23,63,0.1721437726505739,5.996365663322185,299,15,4,63,0.1445493970907423,5.809386845039019,299
22,28,28,51,0.16179237374423328,6.19139353400223,299,28,4,40,0.37860564790702256,5.836967670011148,299
23,10,36,116,0.15521336365338528,5.897369007803791,299,32,4,116,0.40606058508175535,5.893110367892977,299
24,11,14,24,0.19350446083072026,5.406243032329989,299,10,4,24,0.23809633180185552,4.948695652173913,299
25,57,11,143,0.2188165965645329,5.769476031215162,299,58,4,131,0.22723359500402174,5.812396878483835,299
26,32,35,172,0.3523884249828385,5.823589743589744,299,61,4,165,0.2904811575292444,5.803857302118172,299
27,13,19,93,0.006273179123515847,6.034202898550725,299,26,4,93,0.033485807265244,6.062898550724638,299
28,9,54,147,0.07425705652634519,5.225039018952063,299,24,4,111,0.018095830927119506,5.415875139353401,299
29,59,77,185,0.1126949754011122,5.044526198439242,299,90,4,179,0.03918807285547977,5.113623188405797,299
30,44,75,192,0.05366575135173719,5.006153846153846,299,68,4,192,0.1964268117227923,4.627134894091416,299
31,14,61,129,0.11013186567986182,4.734113712374582,299,45,4,129,0.08016399716639008,5.0088517279821625,299
32,107,45,180,0.14470071044484203,5.562051282051282,299,107,4,180,0.12628849376820991,5.6354292084726865,299
33,90,15,172,0.013813055726832193,5.0369676700111485,299,90,4,163,0.04389780028461068,5.098416945373467,299
34,25,11,36,0.38899911708237955,5.947558528428094,299,25,4,36,0.30087106830303345,5.887692307692308,299
35,7,16,27,0.05687190045479178,6.792954292084727,299,4,4,12,0.12037531962968277,6.4853957636566335,299
36,14,10,18,0.07244945476523276,5.29340022296544,299,10,4,16,0.06596362292930438,5.197748049052397,299
37,42,10,99,0.4187321484698301,5.67257525083612,299,42,4,99,0.36297542683358586,5.7238127090301,299
38,10,56,94,0.029829828809561497,5.695005574136009,299,10,4,22,0.21065932812971944,5.936477146042363,299
39,26,43,150,0.39821765939322196,6.228004459308807,299,28,4,126,0.41140618904918613,6.566555183946488,299
40,58,85,147,0.10923168298892778,5.27901895206243,299,25,4,35,0.20508611383478925,4.978015607580825,299
41,80,37,166,0.0986554635765809,5.48989966555184,299,73,4,130,0.06483745449907961,5.671215161649944,299
42,28,9,60,0.21310340189195254,5.670657748049052,299,30,4,60,0.040031367707190436,5.521270903010033,299
43,11,31,68,0.05712049727965628,5.2901226309921965,299,7,4,31,0.03006793747115089,5.100423634336678,299
44,65,55,145,0.13013846935293302,6.263099219620959,299,34,4,69,0.22038280330692173,6.6010479375696764,299
45,30,37,160,0.002994100849694382,5.82180602006689,299,57,4,159,0.16196235849201102,5.4855741360089185,299
46,52,41,134,0.6399211574387471,6.335250836120402,299,56,4,126,0.662538814673387,6.791326644370122,299
47,20,43,121,0.06205337496888233,5.327045707915273,299,20,4,51,0.039331433712718106,5.264414715719064,299
48,30,72,150,0.2662721152325376,6.520802675585284,299,11,4,31,0.8715078253427476,6.959487179487179,299
49,7,69,133,0.28682014814364953,5.814648829431438,299,7,4,28,0.15696985841886726,5.359821627647714,299
50,61,21,137,0.08330319940036783,5.1288963210702345,299,64,4,129,0.1631971508451987,4.628138238573021,299
51,33,54,162,0.19175397147076612,5.7154069119286515,299,64,4,162,0.10580397999119542,6.011460423634337,299
